it,00_0,01_0,10_0,11_0
277,2.34986e-05,-1.1443e-06,-1.1443e-06,2.24962e-05
278,2.33135e-05,-8.60138e-07,-8.60138e-07,2.21854e-05
279,2.3096e-05,-1.4466e-06,-1.4466e-06,2.23581e-05
280,2.34346e-05,-1.25047e-06,-1.25047e-06,2.22858e-05
281,2.35233e-05,-1.2542e-06,-1.2542e-06,2.2394e-05
282,2.3112e-05,-1.14149e-06,-1.14149e-06,2.24349e-05
283,2.31401e-05,-1.07582e-06,-1.07582e-06,2.20585e-05
284,2.36935e-05,-1.31609e-06,-1.31609e-06,2.2374e-05
285,2.3192e-05,-1.2062e-06,-1.2062e-06,2.25617e-05
286,2.30789e-05,-1.06726e-06,-1.06726e-06,2.25739e-05
287,2.34162e-05,-1.32087e-06,-1.32087e-06,2.21467e-05
288,2.29182e-05,-1.17495e-06,-1.17495e-06,2.2313e-05
289,2.35637e-05,-1.10719e-06,-1.10719e-06,2.22206e-05
290,2.30504e-05,-1.22927e-06,-1.22927e-06,2.21069e-05
291,2.30138e-05,-1.31779e-06,-1.31779e-06,2.21845e-05
292,2.37724e-05,-6.85686e-07,-6.85686e-07,2.26174e-05
293,2.30966e-05,-1.12718e-06,-1.12718e-06,2.20281e-05
294,2.26657e-05,-1.05561e-06,-1.05561e-06,2.20508e-05
295,2.31951e-05,-1.44515e-06,-1.44515e-06,2.20008e-05
296,2.26626e-05,-1.46532e-06,-1.46532e-06,2.25642e-05
297,2.31459e-05,-1.05622e-06,-1.05622e-06,2.21476e-05
298,2.31457e-05,-1.44474e-06,-1.44474e-06,2.23842e-05
299,2.3138e-05,-1.20683e-06,-1.20683e-06,2.24142e-05
300,2.33206e-05,-1.46024e-06,-1.46024e-06,2.2017e-05
301,2.30461e-05,-1.6327e-06,-1.6327e-06,2.21967e-05
302,2.32552e-05,-1.23291e-06,-1.23291e-06,2.19994e-05
303,2.37927e-05,-1.40612e-06,-1.40612e-06,2.17091e-05
304,2.34845e-05,-1.61577e-06,-1.61577e-06,2.2458e-05
305,2.29747e-05,-1.51138e-06,-1.51138e-06,2.18819e-05
306,2.32925e-05,-1.16114e-06,-1.16114e-06,2.23943e-05
307,2.343e-05,-1.1913e-06,-1.1913e-06,2.21168e-05
308,2.33745e-05,-1.57401e-06,-1.57401e-06,2.21983e-05
309,2.26999e-05,-1.51713e-06,-1.51713e-06,2.19555e-05
310,2.30978e-05,-1.35998e-06,-1.35998e-06,2.16181e-05
311,2.3408e-05,-1.37382e-06,-1.37382e-06,2.19984e-05
312,2.31413e-05,-1.50038e-06,-1.50038e-06,2.20224e-05
313,2.31029e-05,-1.5013e-06,-1.5013e-06,2.16126e-05
314,2.31615e-05,-1.32065e-06,-1.32065e-06,2.18185e-05
315,2.30321e-05,-1.29774e-06,-1.29774e-06,2.25384e-05
316,2.32095e-05,-1.58361e-06,-1.58361e-06,2.19755e-05
317,2.28265e-05,-1.63329e-06,-1.63329e-06,2.20015e-05
318,2.31807e-05,-1.64065e-06,-1.64065e-06,2.2353e-05
319,2.32051e-05,-1.2327e-06,-1.2327e-06,2.18844e-05
320,2.30386e-05,-1.50529e-06,-1.50529e-06,2.22593e-05
321,2.2975e-05,-1.55603e-06,-1.55603e-06,2.18084e-05
322,2.31992e-05,-1.62253e-06,-1.62253e-06,2.21507e-05
323,2.32396e-05,-1.87206e-06,-1.87206e-06,2.20602e-05
324,2.30127e-05,-1.42342e-06,-1.42342e-06,2.17466e-05
325,2.23632e-05,-1.29403e-06,-1.29403e-06,2.19148e-05
326,2.3219e-05,-1.22841e-06,-1.22841e-06,2.1705e-05
327,2.34432e-05,-1.63093e-06,-1.63093e-06,2.17936e-05
328,2.29749e-05,-1.55156e-06,-1.55156e-06,2.19051e-05
329,2.28198e-05,-1.54824e-06,-1.54824e-06,2.18905e-05
330,2.27673e-05,-1.82444e-06,-1.82444e-06,2.17757e-05
331,2.28318e-05,-1.6437e-06,-1.6437e-06,2.22191e-05
332,2.26222e-05,-1.64115e-06,-1.64115e-06,2.21464e-05
333,2.29658e-05,-1.51389e-06,-1.51389e-06,2.16072e-05
334,2.29568e-05,-1.8721e-06,-1.8721e-06,2.18436e-05
335,2.28808e-05,-1.80307e-06,-1.80307e-06,2.19546e-05
336,2.32405e-05,-1.64206e-06,-1.64206e-06,2.18326e-05
337,2.33771e-05,-1.73345e-06,-1.73345e-06,2.18566e-05
338,2.29556e-05,-1.78517e-06,-1.78517e-06,2.17724e-05
339,2.27923e-05,-1.47423e-06,-1.47423e-06,2.21089e-05
340,2.34119e-05,-1.82882e-06,-1.82882e-06,2.14719e-05
341,2.31809e-05,-2.03419e-06,-2.03419e-06,2.22023e-05
342,2.33738e-05,-1.95325e-06,-1.95325e-06,2.16175e-05
